market_id,market_question,timestamp,prices,volume_total,liquidity,end_date
540816,Russia-Ukraine Ceasefire before GTA VI?,2026-04-23 16:09:58.632379+00:00,"[""0.525"", ""0.475""]",1595768.8536790358,56070.5328,2026-07-31
540817,New Rihanna Album before GTA VI?,2026-04-23 16:12:28.349474+00:00,"[""0.645"", ""0.355""]",700971.2226190015,29451.6206,2026-07-31
540818,New Playboi Carti Album before GTA VI?,2026-04-23 16:09:44.577382+00:00,"[""0.535"", ""0.465""]",728948.516538959,37808.8052,2026-07-31
540819,Will Jesus Christ return before GTA VI?,2026-04-23 16:10:56.014284+00:00,"[""0.485"", ""0.515""]",11120191.797770966,787448.8884,2026-07-31
540820,Trump out as President before GTA VI?,2026-04-23 16:11:10.427272+00:00,"[""0.515"", ""0.485""]",599315.0386750085,45742.6333,2026-07-31
540843,Will China invades Taiwan before GTA VI?,2026-04-23 16:09:51.199093+00:00,"[""0.515"", ""0.485""]",1797245.4977300612,94973.7027,2026-07-31
540844,Will bitcoin hit $1m before GTA VI?,2026-04-23 16:12:29.332731+00:00,"[""0.4945"", ""0.5055""]",4016106.578421558,477855.41792,2026-07-31
540881,GTA VI released before June 2026?,2026-04-23 16:11:39.931405+00:00,"[""0.012"", ""0.988""]",13729176.62264503,68491.6712,2026-05-31
544092,Will Harvey Weinstein be sentenced to no prison time?,2026-04-23 16:11:05.803438+00:00,"[""0.3685"", ""0.6315""]",321770.9499730013,867.73054,2025-12-31
544093,Will Harvey Weinstein be sentenced to less than 5 years in prison?,2026-04-23 16:12:30.588922+00:00,"[""0.0435"", ""0.9565""]",105867.87699900012,2387.73331,2025-12-31
544094,Will Harvey Weinstein be sentenced to between 5 and 10 years in prison?,2026-04-23 16:12:28.356161+00:00,"[""0.0515"", ""0.9485""]",58997.01914000018,2643.11049,2025-12-31
544095,Will Harvey Weinstein be sentenced to between 10 and 20 years in prison?,2026-04-23 16:09:47.257014+00:00,"[""0.1245"", ""0.8755""]",141793.68578199955,861.34762,2025-12-31
544096,Will Harvey Weinstein be sentenced to between 20 and 30 years in prison?,2026-04-23 16:12:25.114445+00:00,"[""0.3075"", ""0.6925""]",181458.832626,849.84167,2025-12-31
544097,Will Harvey Weinstein be sentenced to more than 30 years in prison?,2026-04-23 16:10:32.213020+00:00,"[""0.0955"", ""0.9045""]",57977.85219400011,3256.69033,2025-12-31
553824,Will the Carolina Hurricanes win the 2026 NHL Stanley Cup?,2026-04-23 16:11:29.769608+00:00,"[""0.175"", ""0.825""]",470701.6814549999,126544.5621,2026-06-30
553826,Will the Edmonton Oilers win the 2026 NHL Stanley Cup?,2026-04-23 16:12:31.839124+00:00,"[""0.065"", ""0.935""]",694352.7338600036,59172.834,2026-06-30
553827,Will the Dallas Stars win the 2026 NHL Stanley Cup?,2026-04-23 16:12:38.361680+00:00,"[""0.072"", ""0.928""]",1390900.1900719923,91693.0834,2026-06-30
553828,Will the Colorado Avalanche win the 2026 NHL Stanley Cup?,2026-04-23 16:09:46.871232+00:00,"[""0.246"", ""0.754""]",13788089.74769205,140657.26878,2026-06-30
553829,Will the Vegas Golden Knights win the 2026 NHL Stanley Cup?,2026-04-23 16:12:15.170259+00:00,"[""0.077"", ""0.923""]",1632916.4101099921,95056.82726,2026-06-30
553830,Will the Tampa Bay Lightning win the 2026 NHL Stanley Cup?,2026-04-23 16:11:46.729986+00:00,"[""0.1185"", ""0.8815""]",1795159.1749559701,86177.11495,2026-06-30
553831,Will the Los Angeles Kings win the 2026 NHL Stanley Cup?,2026-04-23 16:12:27.590932+00:00,"[""0.0055"", ""0.9945""]",7192481.515785914,185385.17792,2026-06-30
553837,Will the Ottawa Senators win the 2026 NHL Stanley Cup?,2026-04-23 16:12:33.571078+00:00,"[""0.0235"", ""0.9765""]",1205439.9725749965,118288.86387,2026-06-30
553838,Will the Minnesota Wild win the 2026 NHL Stanley Cup?,2026-04-23 16:09:56.132158+00:00,"[""0.03"", ""0.97""]",8861356.95119193,99557.93393,2026-06-30
553839,Will the Utah Mammoth win the 2026 NHL Stanley Cup?,2026-04-23 16:09:38.259631+00:00,"[""0.0245"", ""0.9755""]",1174041.8492959943,171759.77422,2026-06-30
553843,Will the Philadelphia Flyers win the 2026 NHL Stanley Cup?,2026-04-23 16:12:01.654259+00:00,"[""0.0435"", ""0.9565""]",1264167.7554760026,142118.57488,2026-06-30
553848,Will the Anaheim Ducks win the 2026 NHL Stanley Cup?,2026-04-23 16:12:23.406395+00:00,"[""0.016"", ""0.984""]",1052416.487576999,212661.17603,2026-06-30
